,id,loan_amnt,term,installment,emp_length,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,fico_range_low,fico_range_high,last_credit_pull_d,last_fico_range_high,last_fico_range_low,acc_now_delinq,delinq_amnt,delinq_2yrs,mths_since_last_delinq,mths_since_last_record,inq_last_6mths,inq_last_12m,inq_last_6mnths
15176,50013393,1.0901440954460424,1,0.8377819667141588,2,2,-0.20807771652709522,1,1,2,30,-0.0489820877179039,2,2,4,4,4,0,-0.02481415633827177,1,0.21525383319136643,1.603058134740871,0,0.0,-0.7016736138911017
63076,52669523,1.6602835664740954,1,1.6210355649164154,2,1,-0.26055779904631454,2,1,2,16,0.11171540941308179,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,3,0.0,2.5024700092579577
57299,40522262,1.0986961875114631,1,0.7517725350067843,2,1,-0.3115258299811342,1,1,2,26,-0.028379844495982676,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
10924,67665553,1.8883393548853167,1,1.190681503857841,2,3,0.1641757920771828,1,1,1,33,-0.12010887979358438,1,2,4,2,2,0,-0.02481415633827177,0,0.6904358951255873,-0.4478217355196883,2,3.0,1.434422134874938
56915,38558267,-0.11855158313343005,1,-0.3577184437661729,9,3,-0.40496722002830365,1,1,2,9,-0.060068056689699625,1,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
34076,46715590,-0.9081947505072835,0,-0.7403107998846579,0,2,-0.99109957577873,2,1,2,42,0.15782519186214367,2,2,4,4,4,0,-0.02481415633827177,1,0.1288570946578717,-0.4478217355196883,0,0.0,-0.7016736138911017
78833,77329668,0.06389304759554691,1,-0.286056704948432,2,1,0.38503725946140144,1,1,2,13,-0.07036917830066024,1,1,4,1,4,0,-0.02481415633827177,1,-0.13033312094261243,1.1859300255353336,2,3.0,1.434422134874938
56382,48734426,-0.9081947505072835,0,-0.7257712929189598,5,3,-0.6852913901698119,0,1,0,46,0.03784165157447847,1,2,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,0,0.0,-0.7016736138911017
74303,69444297,0.7452097154740703,1,0.4069675518730289,2,3,-0.2180844399339648,2,1,2,42,0.1529198958569243,2,2,4,1,1,0,-0.02481415633827177,2,-0.04393638240911772,-0.4478217355196883,1,2.0,0.3663742604919181
61719,41150717,-0.11855158313343005,1,-0.5828314434356073,2,1,1.4893445963824945,1,1,1,42,-0.07772712230848926,2,2,4,1,1,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,1,0.0,0.3663742604919181
75652,53874149,-1.0193719473577538,0,-0.9336593885577917,6,3,-0.0906643625969156,1,1,2,33,0.03882271077552235,2,2,4,4,4,0,-0.02481415633827177,0,-0.7783086599438228,-0.4478217355196883,1,0.0,0.3663742604919181
20309,75911850,0.5200046244179893,1,0.01589701359248792,1,1,0.5889093832006802,1,1,2,26,-0.15189519790740574,1,1,4,1,1,0,-0.02481415633827177,0,0.5176424180585979,-0.4478217355196883,0,1.0,-0.7016736138911017
